,Code,Year,Prevalence - Mental and substance use disorders - Sex: Both - Age: Age-standardized (Percent) (%)
5422,TZA,2012,15.7243794028
5423,TZA,2013,15.719385123699999
5424,TZA,2014,15.7131729998
5425,TZA,2015,15.7156965583
5426,TZA,2016,15.7193792758
5427,THA,1990,14.7984757534
5428,THA,1991,14.7823973428
5429,THA,1992,14.7726746693
5430,THA,1993,14.7518270418
5431,THA,1994,14.7420257542
5432,THA,1995,14.724443232
5433,THA,1996,14.7286744355
5434,THA,1997,14.7493094315
5435,THA,1998,14.756659730199999
5436,THA,1999,14.7682857432
5437,THA,2000,14.789136723
5438,THA,2001,14.7805312867
5439,THA,2002,14.7704296784
5440,THA,2003,14.7550070388
5441,THA,2004,14.7474597067
5442,THA,2005,14.734017928599998
5443,THA,2006,14.679959280400002
5444,THA,2007,14.6279394931
5445,THA,2008,14.577347861500002
5446,THA,2009,14.520697925100002
5447,THA,2010,14.480457035999999
5448,THA,2011,14.464913080899999
5449,THA,2012,14.4533995209
5450,THA,2013,14.4294502611
5451,THA,2014,14.4200945555
5452,THA,2015,14.3960908721
5453,THA,2016,14.3889606863
5454,TLS,1990,14.330480419
5455,TLS,1991,14.2966887165
5456,TLS,1992,14.2697751795
5457,TLS,1993,14.2352711799
5458,TLS,1994,14.1996805718
5459,TLS,1995,14.181788066800001
5460,TLS,1996,14.1518470562
5461,TLS,1997,14.1242995268
5462,TLS,1998,14.084364983199999
5463,TLS,1999,14.053502263199999
5464,TLS,2000,14.024574944000001
5465,TLS,2001,13.9988197805
5466,TLS,2002,13.968002252100003
5467,TLS,2003,13.9546573881
5468,TLS,2004,13.922123662999999
5469,TLS,2005,13.906491113900001
5470,TLS,2006,13.828647948599999
5471,TLS,2007,13.7520953804
5472,TLS,2008,13.6920457541
5473,TLS,2009,13.623137687199998
5474,TLS,2010,13.5773019466
5475,TLS,2011,13.5753626264
5476,TLS,2012,13.5590371728
5477,TLS,2013,13.564144295
5478,TLS,2014,13.54584865
5479,TLS,2015,13.544499867799999
5480,TLS,2016,13.535911990899999
5481,TGO,1990,14.958513789799998
5482,TGO,1991,14.963892416499998
5483,TGO,1992,14.9566416895
5484,TGO,1993,14.9747188161
5485,TGO,1994,14.977769321199998
5486,TGO,1995,14.987343233099999
5487,TGO,1996,15.0075499902
5488,TGO,1997,15.0253665055
5489,TGO,1998,15.048641508800001
5490,TGO,1999,15.061424988399999
5491,TGO,2000,15.0904078992
5492,TGO,2001,15.1047288231
5493,TGO,2002,15.1017310194
5494,TGO,2003,15.108761418399999
5495,TGO,2004,15.1310165173
5496,TGO,2005,15.1385407151
5497,TGO,2006,15.2061371611
5498,TGO,2007,15.2384496485
5499,TGO,2008,15.270469851
5500,TGO,2009,15.2733818542
5501,TGO,2010,15.267536733900002
5502,TGO,2011,15.2910401193
5503,TGO,2012,15.301517493299999
5504,TGO,2013,15.305643024500004
5505,TGO,2014,15.308654580699999
5506,TGO,2015,15.3071745806
5507,TGO,2016,15.3043828121
5508,TON,1990,13.172197155
5509,TON,1991,13.1807399624
5510,TON,1992,13.187248802200001
5511,TON,1993,13.198820534200001
5512,TON,1994,13.2173485053
5513,TON,1995,13.218647728699999
5514,TON,1996,13.2267164573
5515,TON,1997,13.2365462701
5516,TON,1998,13.2409885028
5517,TON,1999,13.260572480799999
5518,TON,2000,13.263388428499999
5519,TON,2001,13.2578656651
5520,TON,2002,13.2572606279
5521,TON,2003,13.255393103900001
5522,TON,2004,13.257252763199999
5523,TON,2005,13.2600412148
5524,TON,2006,13.2562977011
